method,noise_level,instances,root_accuracy,ibfir,contaminated_subgraph_precision,contaminated_subgraph_recall,false_contamination_rate,missed_contamination_rate,audit_log_inclusion_rate,metrics_export_inclusion_rate,mean_graph_distance_to_root,mean_latency_seconds,api_cost_usd
cascad_full,B0,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.4021303470995917,
cascad_full,B1,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.3702496247497038,
cascad_full,B2,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.522424846800277,
cascad_full,B3,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.6903891128480609,
cascad_no_calibration,B0,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.3866991175003932,
cascad_no_calibration,B1,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.4735042348009301,
cascad_no_calibration,B2,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.5185696400978486,
cascad_no_calibration,B3,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.7119983941964165,
cascad_no_dependencies,B0,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.38654650024764126,
cascad_no_dependencies,B1,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.3878566484512703,
cascad_no_dependencies,B2,20,1.0,1.0,0.8,1.0,0.2,0.0,1,0,0,0.5317356666011619,
cascad_no_dependencies,B3,20,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1,1,2,0.6320972095985781,
maximum_raw_divergence,B0,20,0.0,0.0,1.0,0.25,0.0,0.75,0,0,2,0.37162550035063757,
maximum_raw_divergence,B1,20,0.0,0.0,1.0,0.25,0.0,0.75,0,0,2,0.48365382569827486,
maximum_raw_divergence,B2,20,0.0,0.0,1.0,0.25,0.0,0.75,0,0,2,0.5430146798476926,
maximum_raw_divergence,B3,20,0.0,0.0,1.0,0.25,0.0,0.75,0,0,2,0.6570101222481753,
naive_first_raw_difference,B0,20,1.0,0.0,1.0,0.25,0.0,0.75,0,0,0,5.996469990350306e-05,
naive_first_raw_difference,B1,20,1.0,0.0,1.0,0.25,0.0,0.75,0,0,0,7.193464844021947e-05,
naive_first_raw_difference,B2,20,1.0,0.0,1.0,0.25,0.0,0.75,0,0,0,6.40023012238089e-05,
naive_first_raw_difference,B3,20,0.0,0.5,0.0,0.0,1.0,1.0,1,0,2,7.03516518115066e-05,
temporal_adjacency,B0,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.38577989870027524,
temporal_adjacency,B1,20,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.38482228124921675,
temporal_adjacency,B2,20,1.0,1.0,0.8,1.0,0.2,0.0,1,0,0,0.5122919349494623,
temporal_adjacency,B3,20,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1,1,2,0.646867993449996,
