scenario,seed,ground_truth_root_cause,visible_symptom,deepseek_prediction,cascad_prediction,deepseek_prediction_type,cascad_prediction_type
cloud_neutral,0,share,share,share,share,root_cause,root_cause
cloud_neutral,1,share,share,share,share,root_cause,root_cause
cloud_neutral,2,share,share,share,share,root_cause,root_cause
cloud_neutral,3,share,share,share,share,root_cause,root_cause
cloud_neutral,4,share,share,share,share,root_cause,root_cause
cloud_neutral,5,share,share,share,share,root_cause,root_cause
cloud_neutral,6,share,share,share,share,root_cause,root_cause
cloud_neutral,7,share,share,share,share,root_cause,root_cause
cloud_neutral,8,share,share,share,share,root_cause,root_cause
cloud_neutral,9,share,share,share,share,root_cause,root_cause
cloud_neutral,10,share,share,share,share,root_cause,root_cause
cloud_neutral,11,share,share,share,share,root_cause,root_cause
cloud_neutral,12,share,share,share,share,root_cause,root_cause
cloud_neutral,13,share,share,share,share,root_cause,root_cause
cloud_neutral,14,share,share,share,share,root_cause,root_cause
cloud_neutral,15,share,share,share,share,root_cause,root_cause
cloud_neutral,16,share,share,share,share,root_cause,root_cause
cloud_neutral,17,share,share,share,share,root_cause,root_cause
cloud_neutral,18,share,share,share,share,root_cause,root_cause
cloud_neutral,19,share,share,share,share,root_cause,root_cause
