scenario,seed,ground_truth_root_cause,visible_symptom,deepseek_prediction,cascad_prediction,deepseek_prediction_type,cascad_prediction_type
document_neutral,0,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,1,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,2,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,3,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,4,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,5,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,6,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,7,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,8,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,9,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,10,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,11,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,12,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,13,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,14,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,15,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,16,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,17,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,18,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,19,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
