method,information_window,difficulty,horizon,instances,root_accuracy,root_wilson95_low,root_wilson95_high,failed_safeguard_identification_rate,persistence_mediator_identification_rate,visible_symptom_identification_rate,role_output_instances,visible_symptom_eligible_instances,invalid_output_rate,mean_graph_distance,subgraph_precision,subgraph_recall,mean_latency_seconds,api_calls,token_usage_total,provider_reported_cost_usd
cascad_full,paired_multi_episode,E0,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,7.186699949670582e-05,0,0,
cascad_full,paired_multi_episode,E0,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,9.344260033685713e-05,0,0,
cascad_full,paired_multi_episode,E0,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00014222320751287044,0,0,
cascad_full,paired_multi_episode,E0,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00026434500177856534,0,0,
cascad_full,paired_multi_episode,E1,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,3.7911598337814215e-05,0,0,
cascad_full,paired_multi_episode,E1,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00014638519787695258,0,0,
cascad_full,paired_multi_episode,E1,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00029998180398251864,0,0,
cascad_full,paired_multi_episode,E1,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00033019000256899743,0,0,
cascad_full,paired_multi_episode,E2,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,4.741059965454042e-05,0,0,
cascad_full,paired_multi_episode,E2,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0001140907988883555,0,0,
cascad_full,paired_multi_episode,E2,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00014710439718328415,0,0,
cascad_full,paired_multi_episode,E2,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00033601040195208043,0,0,
cascad_full,paired_multi_episode,E3,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,4.77639987366274e-05,0,0,
cascad_full,paired_multi_episode,E3,3,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,1.0,0.0001138634019298479,0,0,
cascad_full,paired_multi_episode,E3,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00013554339820984752,0,0,
cascad_full,paired_multi_episode,E3,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00024822780687827617,0,0,
cascad_no_calibration,paired_multi_episode,E0,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,3.1151099093985977,0,0,
cascad_no_calibration,paired_multi_episode,E0,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.07632782280270475,0,0,
cascad_no_calibration,paired_multi_episode,E0,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00016950540011748672,0,0,
cascad_no_calibration,paired_multi_episode,E0,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00027629959804471583,0,0,
cascad_no_calibration,paired_multi_episode,E1,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,5.261760379653424e-05,0,0,
cascad_no_calibration,paired_multi_episode,E1,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.06138870040012989,0,0,
cascad_no_calibration,paired_multi_episode,E1,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00025560780486557635,0,0,
cascad_no_calibration,paired_multi_episode,E1,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0003053355991141871,0,0,
cascad_no_calibration,paired_multi_episode,E2,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,0.06727406019927003,0,0,
cascad_no_calibration,paired_multi_episode,E2,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.030868673796067014,0,0,
cascad_no_calibration,paired_multi_episode,E2,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00021196620364207774,0,0,
cascad_no_calibration,paired_multi_episode,E2,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0002873249992262572,0,0,
cascad_no_calibration,paired_multi_episode,E3,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.6666666666666666,5.824179679621011e-05,0,0,
cascad_no_calibration,paired_multi_episode,E3,3,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,1.0,0.056025022399262527,0,0,
cascad_no_calibration,paired_multi_episode,E3,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00017110259796027094,0,0,
cascad_no_calibration,paired_multi_episode,E3,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0003523730032611638,0,0,
cascad_no_dependencies,paired_multi_episode,E0,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,9.505439666099847e-05,0,0,
cascad_no_dependencies,paired_multi_episode,E0,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0001187840010970831,0,0,
cascad_no_dependencies,paired_multi_episode,E0,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00016526700055692346,0,0,
cascad_no_dependencies,paired_multi_episode,E0,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0002659201971255243,0,0,
cascad_no_dependencies,paired_multi_episode,E1,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,3.966259828303009e-05,0,0,
cascad_no_dependencies,paired_multi_episode,E1,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00011364539677742869,0,0,
cascad_no_dependencies,paired_multi_episode,E1,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00029017959896009414,0,0,
cascad_no_dependencies,paired_multi_episode,E1,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00027232359861955046,0,0,
cascad_no_dependencies,paired_multi_episode,E2,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,4.405179643072188e-05,0,0,
cascad_no_dependencies,paired_multi_episode,E2,3,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0001585547986906022,0,0,
cascad_no_dependencies,paired_multi_episode,E2,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00016518320189788936,0,0,
cascad_no_dependencies,paired_multi_episode,E2,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00030781120294705034,0,0,
cascad_no_dependencies,paired_multi_episode,E3,1,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,0.5,5.0533202011138203e-05,0,0,
cascad_no_dependencies,paired_multi_episode,E3,3,5,1.0,0.5655175352168251,1.0,1,1,,5,0,0,0,1.0,1.0,0.00011717400047928095,0,0,
cascad_no_dependencies,paired_multi_episode,E3,5,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.00014419220096897333,0,0,
cascad_no_dependencies,paired_multi_episode,E3,10,5,1.0,0.5655175352168251,1.0,1,1,1,5,5,0,0,1.0,1.0,0.0002712515997700393,0,0,
deepseek_corrupt_full_history,corrupt_full_history,E0,1,5,0.4,0.11762077423264783,0.769275718723987,,,,0,0,0.6,0,0.4,0.06666666666666667,2.217672857793514,5,1721,
deepseek_corrupt_full_history,corrupt_full_history,E0,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.612197279202519,5,3725,
deepseek_corrupt_full_history,corrupt_full_history,E0,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.6552009453997016,5,6025,
deepseek_corrupt_full_history,corrupt_full_history,E0,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.802079728798708,5,11775,
deepseek_corrupt_full_history,corrupt_full_history,E1,1,5,0.4,0.11762077423264783,0.769275718723987,,,,0,0,0.6,0,0.4,0.06666666666666667,2.1963435054029103,5,1717,
deepseek_corrupt_full_history,corrupt_full_history,E1,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.9455148978013312,5,3765,
deepseek_corrupt_full_history,corrupt_full_history,E1,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.8784533486061263,5,6105,
deepseek_corrupt_full_history,corrupt_full_history,E1,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.8324249970028177,5,11955,
deepseek_corrupt_full_history,corrupt_full_history,E2,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.8853500396042364,5,1490,
deepseek_corrupt_full_history,corrupt_full_history,E2,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.8610394296032609,5,3900,
deepseek_corrupt_full_history,corrupt_full_history,E2,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,2.000074232002953,5,6360,
deepseek_corrupt_full_history,corrupt_full_history,E2,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.6120650276046944,5,12510,
deepseek_corrupt_full_history,corrupt_full_history,E3,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.901393254395225,5,1535,
deepseek_corrupt_full_history,corrupt_full_history,E3,3,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.9025232105981558,5,3905,
deepseek_corrupt_full_history,corrupt_full_history,E3,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.8032372453948482,5,6325,
deepseek_corrupt_full_history,corrupt_full_history,E3,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.7627533635997679,5,12500,
deepseek_paired_history,paired_multi_episode,E0,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.9171056771971053,5,2505,
deepseek_paired_history,paired_multi_episode,E0,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.54371506239695,5,6955,
deepseek_paired_history,paired_multi_episode,E0,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.7184175103961024,5,11405,
deepseek_paired_history,paired_multi_episode,E0,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,2.1356322498002553,5,22530,
deepseek_paired_history,paired_multi_episode,E1,1,5,0.8,0.37553462976252533,0.9637758913675698,,,,0,0,0.2,0,0.8,0.13333333333333333,1.7578383346000919,5,2562,
deepseek_paired_history,paired_multi_episode,E1,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,2.06269941580249,5,6995,
deepseek_paired_history,paired_multi_episode,E1,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.981822136201663,5,11485,
deepseek_paired_history,paired_multi_episode,E1,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,2.1438508716004434,5,22710,
deepseek_paired_history,paired_multi_episode,E2,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.6481297219987028,5,2570,
deepseek_paired_history,paired_multi_episode,E2,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.6011833286029287,5,7130,
deepseek_paired_history,paired_multi_episode,E2,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,1.7542575757979648,5,11740,
deepseek_paired_history,paired_multi_episode,E2,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,2.142847354200785,5,23265,
deepseek_paired_history,paired_multi_episode,E3,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,2.0237196817965013,5,2615,
deepseek_paired_history,paired_multi_episode,E3,3,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,1.7739198619965464,5,7135,
