difficulty,horizon,policy,correction_episode,clean_control,episode,eligible_memory_read_attempts,readable_count,mp,mp_wilson95_low,mp_wilson95_high,behavior_changed_count,bp,bp_wilson95_low,bp_wilson95_high,future_failure_count,ffr,ffr_wilson95_low,ffr_wilson95_high,prewrite_trigger_rate,corrupt_prewrite_block_rate,clean_false_positive_rate,utility_loss_false_blocking
E0,1,delayed_correction,2,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,1,delayed_correction,3,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,1,delayed_correction,5,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,1,none,,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,1,none,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,1,prewrite_quarantine,,False,1,0,0,,,,0,,,,0,,,,1,1,,
E0,1,prewrite_quarantine,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,3,delayed_correction,2,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,3,delayed_correction,2,False,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,3,delayed_correction,2,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,3,delayed_correction,3,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,3,delayed_correction,3,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,3,delayed_correction,3,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,3,delayed_correction,5,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,3,delayed_correction,5,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,3,delayed_correction,5,False,3,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,3,none,,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,3,none,,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,3,none,,False,3,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,3,none,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,3,none,,True,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,3,none,,True,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,3,prewrite_quarantine,,False,1,0,0,,,,0,,,,0,,,,1,1,,
E0,3,prewrite_quarantine,,False,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,3,prewrite_quarantine,,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,3,prewrite_quarantine,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,3,prewrite_quarantine,,True,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,3,prewrite_quarantine,,True,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,delayed_correction,2,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,5,delayed_correction,2,False,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,2,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,2,False,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,2,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,3,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,5,delayed_correction,3,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,delayed_correction,3,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,3,False,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,3,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,delayed_correction,5,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,5,delayed_correction,5,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,delayed_correction,5,False,3,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,delayed_correction,5,False,4,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,delayed_correction,5,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,none,,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,5,none,,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,none,,False,3,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,none,,False,4,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,none,,False,5,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,5,none,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,5,none,,True,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,none,,True,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,none,,True,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,none,,True,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,prewrite_quarantine,,False,1,0,0,,,,0,,,,0,,,,1,1,,
E0,5,prewrite_quarantine,,False,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,prewrite_quarantine,,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,prewrite_quarantine,,False,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,prewrite_quarantine,,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,5,prewrite_quarantine,,True,1,0,0,,,,0,,,,0,,,,0,,0,0
E0,5,prewrite_quarantine,,True,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,prewrite_quarantine,,True,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,prewrite_quarantine,,True,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,5,prewrite_quarantine,,True,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,,0,0
E0,10,delayed_correction,2,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,10,delayed_correction,2,False,2,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,6,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,7,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,8,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,9,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,2,False,10,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,10,delayed_correction,3,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
E0,10,delayed_correction,3,False,3,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,4,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,5,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,6,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,7,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,8,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,9,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,3,False,10,5,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0,,
E0,10,delayed_correction,5,False,1,0,0,,,,0,,,,0,,,,0,0,,
E0,10,delayed_correction,5,False,2,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0,,
