policy,episode,eligible_runs,unrecovered_runs,survival_probability
none,2,60,60,1.0
none,3,60,60,1.0
none,4,40,40,1.0
none,5,40,40,1.0
none,6,20,20,1.0
none,7,20,20,1.0
none,8,20,20,1.0
none,9,20,20,1.0
none,10,20,20,1.0
prewrite_quarantine,2,60,0,0.0
prewrite_quarantine,3,60,0,0.0
prewrite_quarantine,4,40,0,0.0
prewrite_quarantine,5,40,0,0.0
prewrite_quarantine,6,20,0,0.0
prewrite_quarantine,7,20,0,0.0
prewrite_quarantine,8,20,0,0.0
prewrite_quarantine,9,20,0,0.0
prewrite_quarantine,10,20,0,0.0
delayed_correction:c2,2,60,0,0.0
delayed_correction:c2,3,60,0,0.0
delayed_correction:c2,4,40,0,0.0
delayed_correction:c2,5,40,0,0.0
delayed_correction:c2,6,20,0,0.0
delayed_correction:c2,7,20,0,0.0
delayed_correction:c2,8,20,0,0.0
delayed_correction:c2,9,20,0,0.0
delayed_correction:c2,10,20,0,0.0
delayed_correction:c3,2,60,60,1.0
delayed_correction:c3,3,60,0,0.0
delayed_correction:c3,4,40,0,0.0
delayed_correction:c3,5,40,0,0.0
delayed_correction:c3,6,20,0,0.0
delayed_correction:c3,7,20,0,0.0
delayed_correction:c3,8,20,0,0.0
delayed_correction:c3,9,20,0,0.0
delayed_correction:c3,10,20,0,0.0
delayed_correction:c5,2,60,60,1.0
delayed_correction:c5,3,60,60,1.0
delayed_correction:c5,4,40,40,1.0
delayed_correction:c5,5,40,0,0.0
delayed_correction:c5,6,20,0,0.0
delayed_correction:c5,7,20,0,0.0
delayed_correction:c5,8,20,0,0.0
delayed_correction:c5,9,20,0,0.0
delayed_correction:c5,10,20,0,0.0
