method,ground_truth_source,predicted_role,count
cascad_full,tool,source,80
cascad_full,tool,failed_safeguard,0
cascad_full,tool,persistence_mediator,0
cascad_full,tool,visible_symptom,0
cascad_full,tool,final_manifestation,0
cascad_full,tool,invalid,0
cascad_full,tool,other,0
cascad_no_calibration,tool,source,80
cascad_no_calibration,tool,failed_safeguard,0
cascad_no_calibration,tool,persistence_mediator,0
cascad_no_calibration,tool,visible_symptom,0
cascad_no_calibration,tool,final_manifestation,0
cascad_no_calibration,tool,invalid,0
cascad_no_calibration,tool,other,0
cascad_no_dependencies,tool,source,80
cascad_no_dependencies,tool,failed_safeguard,0
cascad_no_dependencies,tool,persistence_mediator,0
cascad_no_dependencies,tool,visible_symptom,0
cascad_no_dependencies,tool,final_manifestation,0
cascad_no_dependencies,tool,invalid,0
cascad_no_dependencies,tool,other,0
deepseek_corrupt_full_history,tool,source,74
deepseek_corrupt_full_history,tool,failed_safeguard,0
deepseek_corrupt_full_history,tool,persistence_mediator,0
deepseek_corrupt_full_history,tool,visible_symptom,0
deepseek_corrupt_full_history,tool,final_manifestation,0
deepseek_corrupt_full_history,tool,invalid,6
deepseek_corrupt_full_history,tool,other,0
deepseek_paired_history,tool,source,79
deepseek_paired_history,tool,failed_safeguard,0
deepseek_paired_history,tool,persistence_mediator,0
deepseek_paired_history,tool,visible_symptom,0
deepseek_paired_history,tool,final_manifestation,0
deepseek_paired_history,tool,invalid,1
deepseek_paired_history,tool,other,0
deepseek_symptom_episode,tool,source,20
deepseek_symptom_episode,tool,failed_safeguard,0
deepseek_symptom_episode,tool,persistence_mediator,60
deepseek_symptom_episode,tool,visible_symptom,0
deepseek_symptom_episode,tool,final_manifestation,0
deepseek_symptom_episode,tool,invalid,0
deepseek_symptom_episode,tool,other,0
last_visible_failure,tool,source,0
last_visible_failure,tool,failed_safeguard,0
last_visible_failure,tool,persistence_mediator,0
last_visible_failure,tool,visible_symptom,55
last_visible_failure,tool,final_manifestation,25
last_visible_failure,tool,invalid,0
last_visible_failure,tool,other,0
maximum_raw_divergence,tool,source,0
maximum_raw_divergence,tool,failed_safeguard,10
maximum_raw_divergence,tool,persistence_mediator,5
maximum_raw_divergence,tool,visible_symptom,55
maximum_raw_divergence,tool,final_manifestation,10
maximum_raw_divergence,tool,invalid,0
maximum_raw_divergence,tool,other,0
naive_first_aligned_difference,tool,source,80
naive_first_aligned_difference,tool,failed_safeguard,0
naive_first_aligned_difference,tool,persistence_mediator,0
naive_first_aligned_difference,tool,visible_symptom,0
naive_first_aligned_difference,tool,final_manifestation,0
naive_first_aligned_difference,tool,invalid,0
naive_first_aligned_difference,tool,other,0
temporal_adjacency,tool,source,0
temporal_adjacency,tool,failed_safeguard,0
temporal_adjacency,tool,persistence_mediator,80
temporal_adjacency,tool,visible_symptom,0
temporal_adjacency,tool,final_manifestation,0
temporal_adjacency,tool,invalid,0
temporal_adjacency,tool,other,0
