method,noise_level,mean_latency_seconds,api_call_count,api_cost_usd
canonicalized_first_difference,N0,9.46071530051995e-05,0,
canonicalized_first_difference,N1,0.00011545100060175172,0,
canonicalized_first_difference,N2,0.000126086099044187,0,
canonicalized_first_difference,N3,0.00016169035006896593,0,
cascad_full,N0,0.1996607070497703,0,
cascad_full,N1,0.2333954877969518,0,
cascad_full,N2,0.3166479198494926,0,
cascad_full,N3,0.4778221675522218,0,
cascad_no_calibration,N0,0.2098841341001389,0,
cascad_no_calibration,N1,0.23902698979800335,0,
cascad_no_calibration,N2,0.4026433539002028,0,
cascad_no_calibration,N3,0.6184110691981914,0,
cascad_no_dependencies,N0,0.2137003869000182,0,
cascad_no_dependencies,N1,0.22288517490014784,0,
cascad_no_dependencies,N2,0.352683842501574,0,
cascad_no_dependencies,N3,0.51010546289981,0,
maximum_raw_divergence,N0,0.8332085994974477,0,
maximum_raw_divergence,N1,0.21825248740133246,0,
maximum_raw_divergence,N2,0.3236592443005065,0,
maximum_raw_divergence,N3,0.48050515645009,0,
naive_first_raw_difference,N0,7.230050177895465e-05,0,
naive_first_raw_difference,N1,7.153139958973042e-05,0,
naive_first_raw_difference,N2,0.0001015129491861444,0,
naive_first_raw_difference,N3,0.0002410513479844667,0,
