method,noise_level,instances,root_accuracy,mediator_selection_rate,symptom_selection_rate,benign_noise_selection_rate,invalid_output_rate,mean_graph_distance_to_root,contaminated_subgraph_precision,contaminated_subgraph_recall,false_contamination_rate,missed_contamination_rate,mean_latency_seconds,api_call_count,api_cost_usd,root_accuracy_degradation_n0_to_n3
canonicalized_first_difference,N0,20,1.0,0.0,0.0,0.0,0.0,0,1.0,0.25,0.0,0.75,9.46071530051995e-05,0,,1.0
canonicalized_first_difference,N1,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,0.00011545100060175172,0,,1.0
canonicalized_first_difference,N2,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,0.000126086099044187,0,,1.0
canonicalized_first_difference,N3,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,0.00016169035006896593,0,,1.0
cascad_full,N0,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.1996607070497703,0,,0.0
cascad_full,N1,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.2333954877969518,0,,0.0
cascad_full,N2,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.3166479198494926,0,,0.0
cascad_full,N3,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.4778221675522218,0,,0.0
cascad_no_calibration,N0,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.2098841341001389,0,,1.0
cascad_no_calibration,N1,20,0.0,0.0,0.0,1.0,0.0,2,0.8,1.0,0.2,0.0,0.23902698979800335,0,,1.0
cascad_no_calibration,N2,20,0.0,0.0,0.0,1.0,0.0,2,0.6666666666666666,1.0,0.3333333333333333,0.0,0.4026433539002028,0,,1.0
cascad_no_calibration,N3,20,0.0,0.0,0.0,1.0,0.0,2,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6184110691981914,0,,1.0
cascad_no_dependencies,N0,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.2137003869000182,0,,0.0
cascad_no_dependencies,N1,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.22288517490014784,0,,0.0
cascad_no_dependencies,N2,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.352683842501574,0,,0.0
cascad_no_dependencies,N3,20,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.51010546289981,0,,0.0
maximum_raw_divergence,N0,20,0.0,0.0,0.0,0.0,0.0,3,1.0,0.25,0.0,0.75,0.8332085994974477,0,,0.0
maximum_raw_divergence,N1,20,0.0,0.0,0.0,0.0,0.0,3,1.0,0.25,0.0,0.75,0.21825248740133246,0,,0.0
maximum_raw_divergence,N2,20,0.0,1.0,0.0,0.0,0.0,1,1.0,0.25,0.0,0.75,0.3236592443005065,0,,0.0
maximum_raw_divergence,N3,20,0.0,1.0,0.0,0.0,0.0,1,1.0,0.25,0.0,0.75,0.48050515645009,0,,0.0
naive_first_raw_difference,N0,20,1.0,0.0,0.0,0.0,0.0,0,1.0,0.25,0.0,0.75,7.230050177895465e-05,0,,1.0
naive_first_raw_difference,N1,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,7.153139958973042e-05,0,,1.0
naive_first_raw_difference,N2,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,0.0001015129491861444,0,,1.0
naive_first_raw_difference,N3,20,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.0,0.0002410513479844667,0,,1.0
