scenario,seed,ground_truth_root_cause,visible_symptom,deepseek_prediction,cascad_prediction,deepseek_prediction_type,cascad_prediction_type
cloud_distant_symptom,0,share,notify,memory,share,mediator,root
cloud_distant_symptom,1,share,notify,memory,share,mediator,root
cloud_distant_symptom,2,share,notify,share,share,root,root
cloud_distant_symptom,3,share,notify,memory,share,mediator,root
cloud_distant_symptom,4,share,notify,memory,share,mediator,root
cloud_distant_symptom,5,share,notify,memory,share,mediator,root
cloud_distant_symptom,6,share,notify,memory,share,mediator,root
cloud_distant_symptom,7,share,notify,memory,share,mediator,root
cloud_distant_symptom,8,share,notify,memory,share,mediator,root
cloud_distant_symptom,9,share,notify,memory,share,mediator,root
cloud_distant_symptom,10,share,notify,memory,share,mediator,root
cloud_distant_symptom,11,share,notify,memory,share,mediator,root
cloud_distant_symptom,12,share,notify,memory,share,mediator,root
cloud_distant_symptom,13,share,notify,memory,share,mediator,root
cloud_distant_symptom,14,share,notify,memory,share,mediator,root
cloud_distant_symptom,15,share,notify,memory,share,mediator,root
cloud_distant_symptom,16,share,notify,memory,share,mediator,root
cloud_distant_symptom,17,share,notify,memory,share,mediator,root
cloud_distant_symptom,18,share,notify,share,share,root,root
cloud_distant_symptom,19,share,notify,memory,share,mediator,root
