instance_id,configuration_id,task_family,fault_family,propagation_opportunity,injection_node,fault_event_count,repeated_fault_exposure,trajectory_aligned,graph_predicted_node,graph_correct,primary_class,realized_propagation,propagated_to_memory,absorbed_by_agent,detected_and_blocked,no_persistence_opportunity_realized,final_failure,successful_recovery,observed_depth,realized_path_length,subgraph_precision,subgraph_recall
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--000,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--001,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--002,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--003,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--004,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--005,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--006,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--007,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--008,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--009,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--010,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--011,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--012,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--013,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--014,full-tools-persistent-memory,local_arithmetic_tool,explicit_tool_error,mono_step,tool::calculate,1,False,True,tool::calculate,True,detected_and_blocked,True,False,False,True,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--000,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--001,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--002,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--003,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--004,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--005,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--006,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--007,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--008,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--009,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--010,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--011,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--012,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--013,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--014,full-tools-persistent-memory,local_arithmetic_tool,incorrect_numeric_value,mono_step,tool::calculate,1,False,True,tool::calculate,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--000,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--001,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--002,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--003,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--004,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--005,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--006,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,detected_and_blocked,True,False,False,True,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--007,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--008,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--009,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--010,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--011,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--012,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--013,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,successful_recovery,True,False,False,False,False,False,True,1,2,1.0,1.0
controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--014,full-tools-persistent-memory,local_time_tool,incorrect_time_observation,mono_step,tool::get_current_datetime,1,False,True,tool::get_current_datetime,True,propagated_without_memory,True,False,False,False,False,True,False,1,2,1.0,1.0
