instance_id,configuration_id,task_family,clean_pair_false_positive,false_node_count
specificity--full-tools-persistent-memory--local_arithmetic_tool--000,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--001,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--002,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--003,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--004,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--005,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--006,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--007,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--008,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--009,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--010,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--011,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--012,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--013,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_arithmetic_tool--014,full-tools-persistent-memory,local_arithmetic_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--000,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--001,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--002,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--003,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--004,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--005,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--006,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--007,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--008,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--009,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--010,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--011,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--012,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--013,full-tools-persistent-memory,local_time_tool,False,0
specificity--full-tools-persistent-memory--local_time_tool--014,full-tools-persistent-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--000,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--001,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--002,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--003,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--004,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--005,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--006,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--007,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--008,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--009,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--010,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--011,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--012,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--013,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_arithmetic_tool--014,local-core-no-memory,local_arithmetic_tool,False,0
specificity--local-core-no-memory--local_time_tool--000,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--001,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--002,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--003,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--004,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--005,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--006,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--007,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--008,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--009,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--010,local-core-no-memory,local_time_tool,True,1
specificity--local-core-no-memory--local_time_tool--011,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--012,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--013,local-core-no-memory,local_time_tool,False,0
specificity--local-core-no-memory--local_time_tool--014,local-core-no-memory,local_time_tool,False,0
